match_id,team1,team2,elo_team1_pre,elo_team2_pre,elo_diff_pre,season
1023643,Melbourne Stars,Sydney Sixers,1553.5243988166683,1525.5799601413703,27.944438675297988,2017
1023645,Perth Scorchers,Melbourne Stars,1586.1056076147054,1542.7218231124778,43.38378450222763,2017
1023649,Perth Scorchers,Sydney Sixers,1594.8633716007225,1536.3825358455608,58.480835755161706,2017
1114856,Sydney Thunder,Sydney Sixers,1419.6608430126541,1528.0500313926527,-108.38918837999859,2017
1114857,Brisbane Heat,Melbourne Stars,1476.4275275038726,1533.9640591264606,-57.53653162258797,2017
1114858,Hobart Hurricanes,Melbourne Renegades,1455.0333235707897,1477.9730877838333,-22.939764213043645,2017
1114859,Adelaide Strikers,Sydney Thunder,1505.695251556106,1432.6831175729967,73.01213398310938,2017
1114860,Sydney Sixers,Perth Scorchers,1515.0277568323102,1603.1958760536306,-88.16811922132047,2017
1114861,Melbourne Renegades,Brisbane Heat,1487.3137860755746,1488.0685876079513,-0.7548015323766322,2017
1114862,Perth Scorchers,Melbourne Stars,1610.7113001840762,1522.322999022382,88.38830116169424,2017
1114863,Brisbane Heat,Sydney Thunder,1478.046862707672,1424.7541782099456,53.29268449772644,2017
1114864,Sydney Sixers,Adelaide Strikers,1507.5123327018646,1513.6241909191572,-6.111858217292593,2017
1114865,Melbourne Renegades,Perth Scorchers,1497.3355109758538,1618.220779117534,-120.88526814168017,2017
1114866,Hobart Hurricanes,Sydney Thunder,1445.6926252790483,1416.27614731188,29.416477967168248,2017
1114867,Adelaide Strikers,Brisbane Heat,1523.448295642422,1486.5248936057376,36.923402036684365,2017
1114869,Perth Scorchers,Sydney Sixers,1624.8753430186061,1497.6882279785998,127.18711504000635,2018
1114868,Sydney Thunder,Hobart Hurricanes,1427.1208042430183,1434.8479683479102,-7.727164104891926,2018
1114870,Melbourne Stars,Brisbane Heat,1514.8135200889242,1477.5836516070578,37.22986848186633,2018
1114871,Melbourne Renegades,Sydney Sixers,1490.6809470747817,1491.1937566723277,-0.5128095975460383,2018
1114872,Hobart Hurricanes,Adelaide Strikers,1444.6255993501195,1532.3895376411017,-87.7639382909822,2018
1114873,Brisbane Heat,Perth Scorchers,1488.6511307264543,1631.3698143248782,-142.71868359842392,2018
1114874,Melbourne Stars,Melbourne Renegades,1503.7460409695277,1500.695706910749,3.050334058778617,2018
1114875,Sydney Thunder,Adelaide Strikers,1417.343173240809,1519.9158800498014,-102.5727068089925,2018
1114876,Hobart Hurricanes,Sydney Sixers,1457.0992569414198,1481.1789968363603,-24.07973989494053,2018
1114877,Perth Scorchers,Melbourne Renegades,1617.4784887697638,1510.7835003266866,106.69498844307714,2018
1114878,Adelaide Strikers,Melbourne Stars,1527.0464848859003,1493.6582475535902,33.388237332310155,2018
1114879,Brisbane Heat,Hobart Hurricanes,1502.5424562815688,1467.7912199816317,34.75123629993709,2018
1114880,Sydney Thunder,Perth Scorchers,1410.21256840471,1624.5005881660338,-214.28801976132377,2018
1114881,Melbourne Renegades,Melbourne Stars,1503.7614009304166,1484.6162909003808,19.145110030035767,2018
1114883,Sydney Sixers,Sydney Thunder,1470.4870337961484,1425.7013230261512,44.785710769997195,2018
1114882,Adelaide Strikers,Perth Scorchers,1536.0884415391097,1609.0118335445927,-72.92339200548304,2018
1114884,Hobart Hurricanes,Brisbane Heat,1478.788118715557,1491.5455575476435,-12.757438832086564,2018
1114885,Melbourne Stars,Sydney Sixers,1495.1667744019608,1479.2050898913772,15.96168451058361,2018
1114886,Adelaide Strikers,Hobart Hurricanes,1528.1570574044267,1489.1551423867961,39.00191501763061,2018
1114887,Sydney Sixers,Brisbane Heat,1489.664181158802,1481.1785338764043,8.485647282397622,2018
1114889,Perth Scorchers,Hobart Hurricanes,1616.9432176792757,1480.2730160390195,136.6702016402562,2018
1114888,Melbourne Stars,Sydney Thunder,1484.707683134536,1416.9832669309224,67.7244162036136,2018
1114890,Melbourne Renegades,Adelaide Strikers,1493.2109174288366,1537.0391837522034,-43.828266323366734,2018
1114891,Sydney Sixers,Melbourne Stars,1499.4199931490957,1472.7827365284288,26.637256620666903,2018
1114892,Sydney Thunder,Melbourne Renegades,1428.9082135370295,1484.4657472311726,-55.5575336941431,2018
1114893,Perth Scorchers,Adelaide Strikers,1623.2006125698604,1545.7843539498674,77.41625861999296,2018
1114895,Brisbane Heat,Melbourne Renegades,1471.4227218861106,1492.8801645426229,-21.457442656512285,2018
1114894,Melbourne Stars,Hobart Hurricanes,1463.5479197390002,1474.0156211484348,-10.46770140943454,2018
1114896,Perth Scorchers,Hobart Hurricanes,1631.00855232189,1463.7144276112133,167.29412471067667,2018
