match_id,checkpoint,season,venue,toss_winner,winner,batting_first_team,target_batfirst,runs,wickets,overs_left,run_rate,runs_per_wicket,pressure_index,checkpoint_ratio,momentum_runs,momentum_wickets,momentum_runrate,momentum_score,par_runs_cp_final,par_gap_cp,exp_remain_final,exp_final_20,resource_frac,venue_mean_runs_cp,venue_mean_wkts_cp,season_mean_runs_cp,season_mean_wkts_cp,venue_mean_exp_final20,team1,team2,elo_team1_pre,elo_team2_pre,elo_diff_pre,elo_bat_first,elo_bowl_first,elo_diff
1269664,6,2022,"GMHBA Stadium, South Geelong, Victoria",Perth Scorchers,Perth Scorchers,Perth Scorchers,1,51,1,14,8.5,25.5,1.7,0.3,43,1,8.6,6.6,47.2952380952381,3.7047619047619023,119.83809523809524,170.83809523809524,0.7415098003763451,42.09090909090909,1.181818181818182,44.767857142857146,1.3214285714285714,157.25703106691537,Perth Scorchers,Melbourne Stars,1575.0361994150635,1481.64254514844,93.3936542666238,1575.0361994150635,1481.64254514844,93.39365426662357
1269664,10,2022,"GMHBA Stadium, South Geelong, Victoria",Perth Scorchers,Perth Scorchers,Perth Scorchers,1,79,1,10,7.9,39.5,3.590909090909091,0.5,36,0,7.2,7.2,83.3076923076923,-4.307692307692307,95.89423076923076,174.89423076923077,0.5933548240537412,69.3,2.1,75.08928571428571,2.4285714285714284,157.25703106691537,Perth Scorchers,Melbourne Stars,1575.0361994150635,1481.64254514844,93.3936542666238,1575.0361994150635,1481.64254514844,93.39365426662357
1269664,15,2022,"GMHBA Stadium, South Geelong, Victoria",Perth Scorchers,Perth Scorchers,Perth Scorchers,1,152,2,5,10.133333333333333,50.666666666666664,8.444444444444445,0.75,73,1,14.6,12.6,129.0144927536232,22.985507246376812,52.0,204.0,0.3217550274223034,109.8,3.5,114.98181818181818,4.036363636363636,157.25703106691537,Perth Scorchers,Melbourne Stars,1575.0361994150635,1481.64254514844,93.3936542666238,1575.0361994150635,1481.64254514844,93.39365426662357
1269664,20,2022,"GMHBA Stadium, South Geelong, Victoria",Perth Scorchers,Perth Scorchers,Perth Scorchers,1,196,3,0,9.8,49.0,49.0,1.0,44,1,8.8,6.800000000000001,190.16,5.840000000000003,0.0,196.0,0.0,154.0,5.8,163.0943396226415,6.660377358490566,157.25703106691537,Perth Scorchers,Melbourne Stars,1575.0361994150635,1481.64254514844,93.3936542666238,1575.0361994150635,1481.64254514844,93.39365426662357
1269665,6,2021,Adelaide Oval,Sydney Thunder,Sydney Thunder,Sydney Thunder,1,43,1,14,7.166666666666667,21.5,1.4333333333333331,0.3,41,1,8.2,6.199999999999999,47.2952380952381,-4.295238095238098,119.83809523809524,162.83809523809524,0.7415098003763451,47.014084507042256,1.3098591549295775,45.223880597014926,1.2686567164179106,165.88374827806138,Sydney Thunder,Adelaide Strikers,1492.5147917234774,1463.4240822739855,29.090709449491897,1492.5147917234774,1463.4240822739855,29.090709449491897
1269665,10,2021,Adelaide Oval,Sydney Thunder,Sydney Thunder,Sydney Thunder,1,65,2,10,6.5,21.666666666666668,1.9696969696969695,0.5,26,1,5.2,3.2,76.94827586206897,-11.948275862068968,88.93103448275862,153.9310344827586,0.5502693738210349,77.98591549295774,2.267605633802817,76.32835820895522,2.2388059701492535,165.88374827806138,Sydney Thunder,Adelaide Strikers,1492.5147917234774,1463.4240822739855,29.090709449491897,1492.5147917234774,1463.4240822739855,29.090709449491897
1269665,15,2021,Adelaide Oval,Sydney Thunder,Sydney Thunder,Sydney Thunder,1,108,3,5,7.2,27.0,4.5,0.75,43,1,8.6,6.6,120.06428571428572,-12.064285714285717,50.65,158.65,0.313401771902686,117.92753623188406,3.550724637681159,119.73846153846154,3.4,165.88374827806138,Sydney Thunder,Adelaide Strikers,1492.5147917234774,1463.4240822739855,29.090709449491897,1492.5147917234774,1463.4240822739855,29.090709449491897
1269665,20,2021,Adelaide Oval,Sydney Thunder,Sydney Thunder,Sydney Thunder,1,187,3,0,9.35,46.75,46.75,1.0,79,0,15.8,15.8,190.16,-3.1599999999999966,0.0,187.0,0.0,169.55384615384617,6.107692307692307,171.8360655737705,6.016393442622951,165.88374827806138,Sydney Thunder,Adelaide Strikers,1492.5147917234774,1463.4240822739855,29.090709449491897,1492.5147917234774,1463.4240822739855,29.090709449491897
1269666,6,2022,"Bellerive Oval, Hobart",Hobart Hurricanes,Brisbane Heat,Brisbane Heat,1,32,3,14,5.333333333333333,8.0,0.5333333333333333,0.3,30,3,6.0,0.0,37.97142857142857,-5.971428571428568,109.08571428571427,141.0857142857143,0.6749784036804146,45.910714285714285,1.4107142857142858,44.767857142857146,1.3214285714285714,165.62417704081545,Brisbane Heat,Hobart Hurricanes,1467.1889568708452,1505.8768928908762,-38.687936020030975,1467.1889568708452,1505.8768928908762,-38.687936020030975
1269666,10,2022,"Bellerive Oval, Hobart",Hobart Hurricanes,Brisbane Heat,Brisbane Heat,1,61,4,10,6.1,12.2,1.1090909090909091,0.5,35,2,7.0,3.0,64.2258064516129,-3.225806451612897,80.45161290322581,141.4516129032258,0.4978021329970377,76.74545454545455,2.1454545454545455,75.08928571428571,2.4285714285714284,165.62417704081545,Brisbane Heat,Hobart Hurricanes,1467.1889568708452,1505.8768928908762,-38.687936020030975,1467.1889568708452,1505.8768928908762,-38.687936020030975
