match_id,checkpoint,runs,wickets,overs_left,run_rate,runs_per_wicket,pressure_index,checkpoint_ratio,toss_win,momentum_runs,momentum_wickets,momentum_runrate,momentum_score,season,toss_decision,target_batfirst,date,winner,bat_first_team
524927,20,138,8,0,6.9,15.333333333333334,15.333333333333334,1.0,0,29,6,5.8,-6.2,2012,bat,0,2012-01-01,Hobart Hurricanes,Sydney Thunder
524928,6,44,1,14,7.333333333333333,22.0,1.4666666666666666,0.3,0,40,1,8.0,6.0,2012,bat,0,2012-01-02,Melbourne Renegades,Sydney Sixers
524928,10,72,3,10,7.2,18.0,1.6363636363636365,0.5,0,41,2,8.2,4.199999999999999,2012,bat,0,2012-01-02,Melbourne Renegades,Sydney Sixers
524928,15,113,3,5,7.533333333333333,28.25,4.708333333333333,0.75,0,41,0,8.2,8.2,2012,bat,0,2012-01-02,Melbourne Renegades,Sydney Sixers
524928,20,161,6,0,8.05,23.0,23.0,1.0,0,48,3,9.6,3.5999999999999996,2012,bat,0,2012-01-02,Melbourne Renegades,Sydney Sixers
524930,6,53,1,14,8.833333333333334,26.5,1.7666666666666666,0.3,0,48,1,9.6,7.6,2012,bat,1,2012-01-04,Perth Scorchers,Perth Scorchers
524930,10,80,2,10,8.0,26.666666666666668,2.4242424242424243,0.5,0,34,2,6.8,2.8,2012,bat,1,2012-01-04,Perth Scorchers,Perth Scorchers
524930,15,111,4,5,7.4,22.2,3.7,0.75,0,31,2,6.2,2.2,2012,bat,1,2012-01-04,Perth Scorchers,Perth Scorchers
524930,20,136,10,0,6.8,12.363636363636363,12.363636363636363,1.0,0,25,6,5.0,-7.0,2012,bat,1,2012-01-04,Perth Scorchers,Perth Scorchers
524933,6,34,1,14,5.666666666666667,17.0,1.1333333333333333,0.3,0,30,1,6.0,4.0,2012,bat,1,2012-01-08,Sydney Sixers,Sydney Sixers
524933,10,56,5,10,5.6,9.333333333333334,0.8484848484848485,0.5,0,28,4,5.6,-2.4000000000000004,2012,bat,1,2012-01-08,Sydney Sixers,Sydney Sixers
524933,15,103,7,5,6.866666666666666,12.875,2.1458333333333335,0.75,0,47,2,9.4,5.4,2012,bat,1,2012-01-08,Sydney Sixers,Sydney Sixers
