match_id,checkpoint,season,runs,wickets,overs_left,run_rate,runs_per_wicket,pressure_index,checkpoint_ratio,momentum_runs,momentum_wickets,momentum_runrate,momentum_score,venue,toss_winner,winner,batting_first_team,target_batfirst,par_runs_cp_final,par_gap_cp,exp_remain_final,exp_final_20,resource_frac
524935,15,2012,161,0,5,10.733333333333333,161.0,26.833333333333332,0.75,61,0,12.2,12.2,"Bellerive Oval, Hobart",Melbourne Stars,Melbourne Stars,Melbourne Stars,1,141.66666666666666,19.333333333333343,63.166666666666664,224.16666666666666,0.39084985702901603
524935,20,2012,203,3,0,10.15,50.75,50.75,1.0,42,3,8.4,2.4000000000000004,"Bellerive Oval, Hobart",Melbourne Stars,Melbourne Stars,Melbourne Stars,1,190.16,12.840000000000003,0.0,203.0,0.0
524936,6,2012,45,1,14,7.5,22.5,1.5,0.3,38,1,7.6,5.6,Adelaide Oval,Sydney Sixers,Sydney Sixers,Sydney Sixers,1,47.2952380952381,-2.2952380952380977,119.83809523809524,164.83809523809524,0.7415098003763451
524936,10,2012,79,2,10,7.9,26.333333333333332,2.393939393939394,0.5,40,1,8.0,6.0,Adelaide Oval,Sydney Sixers,Sydney Sixers,Sydney Sixers,1,76.94827586206897,2.051724137931032,88.93103448275862,167.9310344827586,0.5502693738210349
524936,15,2012,110,5,5,7.333333333333333,18.333333333333332,3.0555555555555554,0.75,31,3,6.2,0.2000000000000001,Adelaide Oval,Sydney Sixers,Sydney Sixers,Sydney Sixers,1,103.86585365853658,6.1341463414634205,43.68292682926829,153.6829268292683,0.2702923330738018
524936,20,2012,151,8,0,7.55,16.77777777777778,16.77777777777778,1.0,41,3,8.2,2.1999999999999993,Adelaide Oval,Sydney Sixers,Sydney Sixers,Sydney Sixers,1,152.3661971830986,-1.366197183098592,0.0,151.0,0.0
524938,6,2012,44,1,14,7.333333333333333,22.0,1.4666666666666666,0.3,39,0,7.8,7.8,"Docklands Stadium, Melbourne",Brisbane Heat,Brisbane Heat,Brisbane Heat,1,47.2952380952381,-3.2952380952380977,119.83809523809524,163.83809523809524,0.7415098003763451
524938,10,2012,71,4,10,7.1,14.2,1.2909090909090908,0.5,45,3,9.0,3.0,"Docklands Stadium, Melbourne",Brisbane Heat,Brisbane Heat,Brisbane Heat,1,64.2258064516129,6.774193548387103,80.45161290322581,151.4516129032258,0.49780213299703774
524938,15,2012,104,5,5,6.933333333333334,17.333333333333332,2.888888888888889,0.75,33,1,6.6,4.6,"Docklands Stadium, Melbourne",Brisbane Heat,Brisbane Heat,Brisbane Heat,1,103.86585365853658,0.13414634146342053,43.68292682926829,147.6829268292683,0.2702923330738018
524938,20,2012,168,7,0,8.4,21.0,21.0,1.0,64,2,12.8,8.8,"Docklands Stadium, Melbourne",Brisbane Heat,Brisbane Heat,Brisbane Heat,1,161.1888888888889,6.811111111111103,0.0,168.0,0.0
524939,6,2012,44,3,14,7.333333333333333,11.0,0.7333333333333333,0.3,40,3,8.0,2.0,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Sydney Thunder,Brisbane Heat,Brisbane Heat,1,37.97142857142857,6.028571428571432,109.08571428571429,153.0857142857143,0.6749784036804146
524939,10,2012,77,3,10,7.7,19.25,1.75,0.5,48,1,9.6,7.6,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Sydney Thunder,Brisbane Heat,Brisbane Heat,1,69.30201342281879,7.6979865771812115,84.68456375838926,161.68456375838926,0.5239939256601219
524939,15,2012,119,3,5,7.933333333333334,29.75,4.958333333333333,0.75,42,0,8.4,8.4,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Sydney Thunder,Brisbane Heat,Brisbane Heat,1,120.06428571428572,-1.0642857142857167,50.65,169.65,0.313401771902686
524939,20,2012,195,4,0,9.75,39.0,39.0,1.0,76,1,15.2,13.2,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Sydney Thunder,Brisbane Heat,Brisbane Heat,1,181.0,14.0,0.0,195.0,0.0
524940,6,2012,58,0,14,9.666666666666666,58.0,3.8666666666666663,0.3,51,0,10.2,10.2,"Bellerive Oval, Hobart",Melbourne Renegades,Hobart Hurricanes,Melbourne Renegades,0,53.71028037383178,4.289719626168221,122.3644859813084,180.3644859813084,0.7571420873544606
524940,10,2012,98,0,10,9.8,98.0,8.909090909090908,0.5,48,0,9.6,9.6,"Bellerive Oval, Hobart",Melbourne Renegades,Hobart Hurricanes,Melbourne Renegades,0,87.27586206896552,10.724137931034477,97.86206896551724,195.86206896551724,0.6055310131462183
524940,15,2012,137,1,5,9.133333333333333,68.5,11.416666666666666,0.75,39,1,7.8,5.8,"Bellerive Oval, Hobart",Melbourne Renegades,Hobart Hurricanes,Melbourne Renegades,0,134.52,2.4799999999999898,53.76,190.76,0.3326451975812122
524940,20,2012,173,4,0,8.65,34.6,34.6,1.0,36,3,7.2,1.2000000000000002,"Bellerive Oval, Hobart",Melbourne Renegades,Hobart Hurricanes,Melbourne Renegades,0,181.0,-8.0,0.0,173.0,0.0
524941,6,2012,52,2,14,8.666666666666666,17.333333333333332,1.1555555555555554,0.3,50,1,10.0,8.0,"Sydney Cricket Ground, Sydney",Sydney Sixers,Sydney Sixers,Sydney Sixers,1,41.6,10.399999999999999,108.84827586206896,160.84827586206896,0.6735092304782778
524941,10,2012,79,3,10,7.9,19.75,1.7954545454545454,0.5,36,1,7.2,5.2,"Sydney Cricket Ground, Sydney",Sydney Sixers,Sydney Sixers,Sydney Sixers,1,69.30201342281879,9.697986577181211,84.68456375838926,163.68456375838926,0.5239939256601219
524941,15,2012,126,4,5,8.4,25.2,4.2,0.75,47,1,9.4,7.4,"Sydney Cricket Ground, Sydney",Sydney Sixers,Sydney Sixers,Sydney Sixers,1,112.85897435897436,13.141025641025635,47.43589743589744,173.43589743589743,0.29351420154401453
524941,20,2012,176,10,0,8.8,16.0,16.0,1.0,50,6,10.0,-2.0,"Sydney Cricket Ground, Sydney",Sydney Sixers,Sydney Sixers,Sydney Sixers,1,137.65625,38.34375,0.0,176.0,0.0
524942,6,2012,46,1,14,7.666666666666667,23.0,1.5333333333333334,0.3,40,1,8.0,6.0,Melbourne Cricket Ground,Adelaide Strikers,Melbourne Stars,Adelaide Strikers,0,47.2952380952381,-1.2952380952380977,119.83809523809524,165.83809523809524,0.7415098003763451
524942,10,2012,66,3,10,6.6,16.5,1.5,0.5,29,2,5.8,1.7999999999999998,Melbourne Cricket Ground,Adelaide Strikers,Melbourne Stars,Adelaide Strikers,0,69.30201342281879,-3.3020134228187885,84.68456375838926,150.68456375838926,0.5239939256601219
524942,15,2012,100,5,5,6.666666666666667,16.666666666666668,2.777777777777778,0.75,34,2,6.8,2.8,Melbourne Cricket Ground,Adelaide Strikers,Melbourne Stars,Adelaide Strikers,0,103.86585365853658,-3.8658536585365795,43.68292682926829,143.6829268292683,0.2702923330738018
524942,20,2012,125,10,0,6.25,11.363636363636363,11.363636363636363,1.0,25,5,5.0,-5.0,Melbourne Cricket Ground,Adelaide Strikers,Melbourne Stars,Adelaide Strikers,0,137.65625,-12.65625,0.0,125.0,0.0
